ID,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
3686,Andhra Pradesh,KADAPA,2008,Kharif     ,Rice,50183.0,87168.0
3702,Andhra Pradesh,KADAPA,2008,Rabi       ,Rice,14883.0,41271.0
3729,Andhra Pradesh,KADAPA,2009,Kharif     ,Rice,52423.0,153757.0
3746,Andhra Pradesh,KADAPA,2009,Rabi       ,Rice,12894.0,34169.0
3773,Andhra Pradesh,KADAPA,2010,Kharif     ,Rice,53345.0,80657.0
3791,Andhra Pradesh,KADAPA,2010,Rabi       ,Rice,17037.0,48896.0
3821,Andhra Pradesh,KADAPA,2011,Kharif     ,Rice,47290.0,141161.0
3840,Andhra Pradesh,KADAPA,2011,Rabi       ,Rice,6606.0,17499.0
3876,Andhra Pradesh,KADAPA,2012,Kharif     ,Rice,24147.0,61551.0
3908,Andhra Pradesh,KADAPA,2012,Rabi       ,Rice,6601.0,19249.0
3944,Andhra Pradesh,KADAPA,2013,Kharif     ,Rice,51753.0,148842.0
3973,Andhra Pradesh,KADAPA,2013,Rabi       ,Rice,10959.0,29447.0
4014,Andhra Pradesh,KADAPA,2014,Kharif     ,Rice,42124.0,155648.0
4043,Andhra Pradesh,KADAPA,2014,Rabi       ,Rice,3761.0,10189.0
4055,Andhra Pradesh,KADAPA,2014,Whole Year ,Rice,45885.0,165837.0
4064,Andhra Pradesh,KRISHNA,1997,Kharif     ,Rice,257900.0,699400.0
4076,Andhra Pradesh,KRISHNA,1997,Rabi       ,Rice,116300.0,393500.0
4085,Andhra Pradesh,KRISHNA,1998,Kharif     ,Rice,280800.0,759900.0
4097,Andhra Pradesh,KRISHNA,1998,Rabi       ,Rice,134500.0,491200.0
4107,Andhra Pradesh,KRISHNA,1999,Kharif     ,Rice,278415.0,834490.0
4118,Andhra Pradesh,KRISHNA,1999,Rabi       ,Rice,127888.0,457596.0
4136,Andhra Pradesh,KRISHNA,2000,Kharif     ,Rice,281343.0,868787.0
4151,Andhra Pradesh,KRISHNA,2000,Rabi       ,Rice,112917.0,408308.0
4173,Andhra Pradesh,KRISHNA,2001,Kharif     ,Rice,245114.0,714507.0
4188,Andhra Pradesh,KRISHNA,2001,Rabi       ,Rice,98472.0,358635.0
4211,Andhra Pradesh,KRISHNA,2002,Kharif     ,Rice,243910.0,761243.0
4226,Andhra Pradesh,KRISHNA,2002,Rabi       ,Rice,2185.0,5688.0
4267,Andhra Pradesh,KRISHNA,2003,Kharif     ,Rice,222367.0,526565.0
4281,Andhra Pradesh,KRISHNA,2003,Rabi       ,Rice,7486.0,19359.0
4316,Andhra Pradesh,KRISHNA,2004,Kharif     ,Rice,245306.0,804849.0
4332,Andhra Pradesh,KRISHNA,2004,Rabi       ,Rice,10017.0,31584.0
4353,Andhra Pradesh,KRISHNA,2005,Kharif     ,Rice,254919.0,697203.0
4367,Andhra Pradesh,KRISHNA,2005,Rabi       ,Rice,104332.0,409399.0
4387,Andhra Pradesh,KRISHNA,2006,Kharif     ,Rice,251433.0,521221.0
4399,Andhra Pradesh,KRISHNA,2006,Rabi       ,Rice,94862.0,355638.0
4417,Andhra Pradesh,KRISHNA,2007,Kharif     ,Rice,261000.0,944000.0
4424,Andhra Pradesh,KRISHNA,2007,Rabi       ,Rice,94000.0,355000.0
4436,Andhra Pradesh,KRISHNA,2008,Kharif     ,Rice,273878.0,959395.0
4449,Andhra Pradesh,KRISHNA,2008,Rabi       ,Rice,120655.0,467900.0
4469,Andhra Pradesh,KRISHNA,2009,Kharif     ,Rice,228196.0,784310.0
4481,Andhra Pradesh,KRISHNA,2009,Rabi       ,Rice,108442.0,424984.0
4500,Andhra Pradesh,KRISHNA,2010,Kharif     ,Rice,260350.0,722978.0
4514,Andhra Pradesh,KRISHNA,2010,Rabi       ,Rice,94991.0,367710.0
4535,Andhra Pradesh,KRISHNA,2011,Kharif     ,Rice,262826.0,980105.0
4548,Andhra Pradesh,KRISHNA,2011,Rabi       ,Rice,9203.0,31437.0
4574,Andhra Pradesh,KRISHNA,2012,Kharif     ,Rice,253166.0,908360.0
4594,Andhra Pradesh,KRISHNA,2012,Rabi       ,Rice,11365.0,42244.0
4617,Andhra Pradesh,KRISHNA,2013,Kharif     ,Rice,264371.0,773285.0
4636,Andhra Pradesh,KRISHNA,2013,Rabi       ,Rice,98951.0,402236.0
4664,Andhra Pradesh,KRISHNA,2014,Kharif     ,Rice,235212.0,788901.0
4683,Andhra Pradesh,KRISHNA,2014,Rabi       ,Rice,52830.0,209894.0
4691,Andhra Pradesh,KRISHNA,2014,Whole Year ,Rice,288042.0,998795.0
4702,Andhra Pradesh,KURNOOL,1997,Kharif     ,Rice,66300.0,176900.0
4715,Andhra Pradesh,KURNOOL,1997,Rabi       ,Rice,9000.0,23900.0
4730,Andhra Pradesh,KURNOOL,1998,Kharif     ,Rice,75100.0,221700.0
4744,Andhra Pradesh,KURNOOL,1998,Rabi       ,Rice,20900.0,44500.0
4761,Andhra Pradesh,KURNOOL,1999,Kharif     ,Rice,81640.0,225431.0
4774,Andhra Pradesh,KURNOOL,1999,Rabi       ,Rice,12430.0,35695.0
4799,Andhra Pradesh,KURNOOL,2000,Kharif     ,Rice,93188.0,307427.0
4820,Andhra Pradesh,KURNOOL,2000,Rabi       ,Rice,13909.0,38083.0
4849,Andhra Pradesh,KURNOOL,2001,Kharif     ,Rice,43617.0,121779.0
4868,Andhra Pradesh,KURNOOL,2001,Rabi       ,Rice,38162.0,98534.0
4895,Andhra Pradesh,KURNOOL,2002,Kharif     ,Rice,47948.0,100499.0
4912,Andhra Pradesh,KURNOOL,2002,Rabi       ,Rice,10974.0,24856.0
