,Unnamed: 0,State,Year,Season,Crop,Area,Production,Rainfall
2175,11806,Arunachal Pradesh,2007,Kharif     ,Rice,6300.0,7514.0,3020.7
2183,11814,Arunachal Pradesh,2008,Kharif     ,Rice,6500.0,7501.0,2244.4
2191,11822,Arunachal Pradesh,2009,Kharif     ,Rice,6605.0,7718.0,1749.9
2199,11830,Arunachal Pradesh,2010,Kharif     ,Rice,6625.0,7742.0,2855.7
2207,11838,Arunachal Pradesh,2011,Kharif     ,Rice,6730.0,8436.0,2193.7
2215,11846,Arunachal Pradesh,2012,Kharif     ,Rice,6590.0,8285.0,3440.3
2223,11854,Arunachal Pradesh,2013,Kharif     ,Rice,6615.0,8510.0,2042.9
2231,11862,Arunachal Pradesh,2014,Kharif     ,Rice,6615.0,8794.0,2403.2
2239,11870,Arunachal Pradesh,1997,Kharif     ,Rice,3915.0,2750.0,2274.9
2250,11881,Arunachal Pradesh,1998,Kharif     ,Rice,4015.0,1500.0,3616.7
2265,11896,Arunachal Pradesh,1999,Kharif     ,Rice,4300.0,2975.0,2316.6
2275,11906,Arunachal Pradesh,2000,Kharif     ,Rice,4500.0,3600.0,2596.8
2283,11914,Arunachal Pradesh,2001,Kharif     ,Rice,20500.0,16088.0,2036.0
2294,11925,Arunachal Pradesh,2002,Kharif     ,Rice,4520.0,4695.0,2389.2
2305,11936,Arunachal Pradesh,2003,Kharif     ,Rice,4550.0,5295.0,2451.8
2316,11947,Arunachal Pradesh,2004,Kharif     ,Rice,4555.0,5296.0,2545.7
2326,11957,Arunachal Pradesh,2005,Kharif     ,Rice,4800.0,6708.0,2335.5
2334,11965,Arunachal Pradesh,2006,Kharif     ,Rice,5164.0,5063.0,2259.6
2343,11974,Arunachal Pradesh,2007,Kharif     ,Rice,5100.0,11079.0,3020.7
2352,11983,Arunachal Pradesh,2008,Kharif     ,Rice,5839.0,7739.0,2244.4
2360,11991,Arunachal Pradesh,2009,Kharif     ,Rice,4328.0,5433.33,1749.9
2368,11999,Arunachal Pradesh,2010,Kharif     ,Rice,4169.0,5681.0,2855.7
2376,12007,Arunachal Pradesh,2011,Kharif     ,Rice,4235.0,6190.0,2193.7
2384,12015,Arunachal Pradesh,2012,Kharif     ,Rice,4425.0,5935.0,3440.3
2392,12023,Arunachal Pradesh,2013,Kharif     ,Rice,5062.0,9280.0,2042.9
2400,12031,Arunachal Pradesh,2014,Kharif     ,Rice,5062.0,9698.0,2403.2
2408,12039,Arunachal Pradesh,1997,Kharif     ,Rice,915.0,880.0,2274.9
2417,12048,Arunachal Pradesh,1998,Kharif     ,Rice,913.0,806.0,3616.7
2429,12060,Arunachal Pradesh,1999,Kharif     ,Rice,850.0,700.0,2316.6
2438,12069,Arunachal Pradesh,2000,Kharif     ,Rice,855.0,756.0,2596.8
2447,12078,Arunachal Pradesh,2001,Kharif     ,Rice,855.0,1163.0,2036.0
2456,12087,Arunachal Pradesh,2002,Kharif     ,Rice,855.0,1160.0,2389.2
2465,12096,Arunachal Pradesh,2003,Kharif     ,Rice,859.0,723.0,2451.8
2474,12105,Arunachal Pradesh,2004,Kharif     ,Rice,908.0,727.0,2545.7
2482,12113,Arunachal Pradesh,2005,Kharif     ,Rice,860.0,760.0,2335.5
2490,12121,Arunachal Pradesh,2006,Kharif     ,Rice,854.0,774.0,2259.6
2498,12129,Arunachal Pradesh,2007,Kharif     ,Rice,861.0,809.0,3020.7
2506,12137,Arunachal Pradesh,2008,Kharif     ,Rice,880.0,939.0,2244.4
2514,12145,Arunachal Pradesh,2009,Kharif     ,Rice,865.0,798.66,1749.9
2522,12153,Arunachal Pradesh,2010,Kharif     ,Rice,866.0,799.0,2855.7
2530,12161,Arunachal Pradesh,2011,Kharif     ,Rice,880.0,870.0,2193.7
2538,12169,Arunachal Pradesh,2012,Kharif     ,Rice,867.0,890.0,3440.3
2545,12176,Arunachal Pradesh,2013,Kharif     ,Rice,880.0,891.0,2042.9
2553,12184,Arunachal Pradesh,2014,Kharif     ,Rice,880.0,1256.0,2403.2
2561,12192,Arunachal Pradesh,1997,Kharif     ,Rice,18750.0,16500.0,2274.9
2572,12203,Arunachal Pradesh,1998,Kharif     ,Rice,19170.0,17714.0,3616.7
2587,12218,Arunachal Pradesh,1999,Kharif     ,Rice,19291.0,21816.0,2316.6
2598,12229,Arunachal Pradesh,2000,Kharif     ,Rice,19291.0,21816.0,2596.8
2609,12240,Arunachal Pradesh,2001,Kharif     ,Rice,19291.0,21872.0,2036.0
2620,12251,Arunachal Pradesh,2002,Kharif     ,Rice,19953.0,22135.0,2389.2
2631,12262,Arunachal Pradesh,2003,Kharif     ,Rice,19355.0,22345.0,2451.8
2642,12273,Arunachal Pradesh,2004,Kharif     ,Rice,23857.0,18436.0,2545.7
2651,12282,Arunachal Pradesh,2005,Kharif     ,Rice,24000.0,22900.0,2335.5
2660,12291,Arunachal Pradesh,2006,Kharif     ,Rice,24343.0,21275.0,2259.6
2670,12301,Arunachal Pradesh,2007,Kharif     ,Rice,24951.0,21935.0,3020.7
2680,12311,Arunachal Pradesh,2008,Kharif     ,Rice,25106.0,22309.0,2244.4
2690,12321,Arunachal Pradesh,2009,Kharif     ,Rice,25136.0,22455.33,1749.9
2700,12331,Arunachal Pradesh,2010,Kharif     ,Rice,25148.0,22569.0,2855.7
2710,12341,Arunachal Pradesh,2011,Kharif     ,Rice,25547.0,24596.0,2193.7
2720,12351,Arunachal Pradesh,2012,Kharif     ,Rice,25528.0,24632.0,3440.3
2729,12360,Arunachal Pradesh,2013,Kharif     ,Rice,25561.0,24801.0,2042.9
2738,12369,Arunachal Pradesh,2014,Kharif     ,Rice,24811.0,25220.0,2403.2
2746,27005,Bihar,1997,Autumn     ,Rice,17876.0,21397.0,1303.7
2764,27023,Bihar,1997,Summer     ,Rice,8479.0,13993.0,1303.7
2776,27035,Bihar,1997,Winter     ,Rice,93975.0,121063.0,1303.7
2795,27054,Bihar,1998,Summer     ,Rice,9936.0,13613.0,1332.5
2807,27066,Bihar,1998,Winter     ,Rice,93100.0,90299.0,1332.5
2819,27078,Bihar,1999,Kharif     ,Rice,24619.0,23238.0,1402.7
2834,27093,Bihar,1999,Summer     ,Rice,13776.0,24727.0,1402.7
2844,27103,Bihar,2000,Autumn     ,Rice,88865.0,84685.0,1207.0
2855,27114,Bihar,2000,Kharif     ,Rice,24075.0,31507.0,1207.0
2872,27131,Bihar,2000,Summer     ,Rice,14317.0,22609.0,1207.0
2883,27142,Bihar,2001,Autumn     ,Rice,80515.0,87320.0,1247.0
2893,27152,Bihar,2001,Kharif     ,Rice,15573.0,33183.0,1247.0
2908,27167,Bihar,2001,Summer     ,Rice,29135.0,21611.0,1247.0
2919,27178,Bihar,2002,Autumn     ,Rice,24475.0,20930.0,1105.8
2944,27203,Bihar,2002,Summer     ,Rice,14783.0,20669.0,1105.8
2956,27215,Bihar,2002,Winter     ,Rice,82299.0,95520.0,1105.8
